"ID","ID","NAME","START_AT","END_AT","ARTWORKS_COUNT","PARTNERS_COUNT","ARTISTS_COUNT","PARTNER_SHOWS_COUNT","PUBLISHED","STATUS"
"a0TM000000AUlxIMAT","544e59aa7261692dcdd10000","Singapore Art Fair 2014","2014-11-27 14:41:00.0","2014-11-30 14:41:00.0","104","3","15","3","true","Item Updated"
"a0TM000000AUlxJMAT","545cdf3372616942ce030500","Boston International Fine Art Show 2014","2014-11-13 15:00:00.0","2014-11-16 15:00:00.0","13","1","9","1","true","Item Updated"
"a0TM000000AUlxKMAT","545dec187261694bebb20200","fotofever 2014","2014-11-14 18:09:00.0","2014-11-16 10:07:00.0","0","0","0","0","false","Item Updated"
"a0TM000000AUlxLMAT","5461d0ed7261692d4c310c00","artgeneve 2015","2015-01-29 09:00:00.0","2015-02-01 09:00:00.0","39","5","18","5","true","Item Updated"
"a0TM000000AUlxMMAT","546306b67261691f1b260600","Miami Project 2014","2014-12-02 07:16:00.0","2014-12-07 07:16:00.0","426","22","153","22","true","Item Updated"
"a0TM000000AUlxNMAT","5463b56872616907d0580000","SELECT Fair Miami Beach 2014","2014-12-02 19:28:00.0","2014-12-07 19:28:00.0","34","1","2","1","true","Item Updated"
"a0TM000000AUlxOMAT","5469fffc7261691109120700","PAN Amsterdam 2014","2014-11-23 14:02:00.0","2014-11-30 14:02:00.0","3","1","3","1","false","Item Updated"
"a0TM000000AUlxPMAT","546b24d17261697c36ff0a00","Affordable Art Fair Singapore 2014","2014-11-20 10:51:00.0","2014-11-23 10:51:00.0","37","1","13","1","false","Item Updated"
"a0TM000000AUlxQMAT","545109357261690aa3720700","PULSE Miami Beach 2014","2014-12-04 11:00:00.0","2014-12-07 22:00:00.0","763","61","182","61","true","Item Updated"
"a0TM000000AUlxRMAT","5473ae0172616915bbdc0100","California Antiquarian Book Fair 2014","2014-02-07 22:13:00.0","2014-02-09 22:13:00.0","6","1","6","1","true","Item Updated"
"a0TM000000AUlxSMAT","547c95677261692d8cc10100","Pinta New York 2012","2012-11-15 16:19:00.0","2012-11-18 16:19:00.0","5","1","2","1","true","Item Updated"
"a0TM000000AUlxTMAT","547ddbca7261692c6fc30a00","Affordable Art Fair New York Spring 2014","2014-04-03 15:32:00.0","2014-04-06 15:32:00.0","11","1","4","1","true","Item Updated"
"a0TM000000AUlxUMAT","547ddde17261692e0e1b0900","Affordable Art Fair New York Fall 2011","2011-09-22 15:41:00.0","2011-09-25 15:41:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxVMAT","54871df07261691f017c0300","India Art Fair 2015","2015-01-29 10:00:00.0","2015-02-01 18:00:00.0","329","13","81","13","true","Item Updated"
"a0TM000000AUlxWMAT","549210e77261692dade80200","Art Miami 2011","2011-11-30 23:24:00.0","2011-12-04 23:24:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxXMAT","549a8929726169625eb50600","Busan Biennale","2014-09-20 09:35:00.0","2014-09-22 09:35:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxYMAT","54ad53c87261692572130400","Outsider Art Fair 2015","2015-01-29 15:40:00.0","2015-02-01 15:40:00.0","84","4","42","4","true","Item Updated"
"a0TM000000AUlxZMAT","54887cdf7261691ef28a0000","FOG Design+Art 2015","2015-01-15 19:00:00.0","2015-01-18 20:00:00.0","377","32","161","32","true","Item Updated"
"a0TM000000AUlxaMAD","54adda3a72616966aa620900","photo l.a. 2015","2015-01-15 23:00:00.0","2015-01-18 23:00:00.0","77","2","13","2","true","Item Updated"
"a0TM000000AUlxbMAD","54aef13b7261690fc8720200","artMRKT San Francisco 2013","2013-05-17 23:00:00.0","2013-05-19 23:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxcMAD","546a122e7261692d5da10000","Art Stage Singapore 2015","2015-01-22 15:19:00.0","2015-01-25 15:19:00.0","1799","148","520","149","true","Item Updated"
"a0TM000000AUlxdMAD","54b577e37261692c8cde0200","Art City Bologna 2015","2015-01-23 19:53:00.0","2015-01-26 19:53:00.0","26","1","11","1","false","Item Updated"
"a0TM000000AUlxeMAD","54871d797261691f04b80300","Art Los Angeles Contemporary 2015","2015-01-29 11:00:00.0","2015-02-01 18:00:00.0","327","44","107","44","true","Item Updated"
"a0TM000000AUlxfMAD","54c26ef97261692bc0a80000","Art Paris 2015","2015-03-26 15:54:00.0","2015-03-29 15:54:00.0","86","8","32","8","true","Item Updated"
"a0TM000000AUlxgMAD","54c8419f7261692b71450800","VOLTA NY 2015","2015-03-05 11:00:00.0","2015-03-08 17:00:00.0","264","20","23","21","true","Item Updated"
"a0TM000000AUlxhMAD","543865d4726169329c350300","Zona MACO 2015","2015-02-04 12:00:00.0","2015-02-08 20:00:00.0","1410","109","425","113","true","Item Updated"
"a0TM000000AUlxiMAD","54cc14b2726169399e2e0200","Affordable Art Fair Spring 2015","2015-03-25 23:32:00.0","2015-03-29 23:32:00.0","155","6","39","6","true","Item Updated"
"a0TM000000AUlxjMAD","54d3ab717261692c655c0500","SPRING/BREAK Art Show 2015","2015-03-03 17:33:00.0","2015-03-08 17:33:00.0","8","1","3","1","true","Item Updated"
"a0TM000000AUlxkMAD","5168628e66b84a4af900044a","Art Brussels 2013","2013-04-18 04:00:00.0","2013-04-21 04:00:00.0","11","1","3","1","true","Item Updated"
"a0TM000000AUlxlMAD","5227735c8b3b8125fd000366","Art Toronto 2013","2013-10-25 04:00:00.0","2013-10-28 04:00:00.0","1554","95","539","96","true","Item Updated"
"a0TM000000AUlxmMAD","52a64e1f8b3b8117b50000d7","Art Stage Singapore 2014","2014-01-16 05:00:00.0","2014-01-19 05:00:00.0","881","116","346","128","true","Item Updated"
"a0TM000000AUlxnMAD","52b7b380cd530e85ab0002ca","FOG Design+Art","2014-01-17 08:00:00.0","2014-01-19 08:00:00.0","481","26","145","26","true","Item Updated"
"a0TM000000AUlxoMAD","53516fb8cb4c278bba00006c","Art Basel 2014","2014-06-19 15:00:00.0","2014-06-22 23:00:00.0","1445","142","655","142","true","Item Updated"
"a0TM000000AUlxpMAD","54dbda5a7261696b08a81400","SCOPE New York 2015","2015-03-06 22:40:00.0","2015-03-08 22:40:00.0","36","3","15","3","true","Item Updated"
"a0TM000000AUlxqMAD","54e617a67261694289650800","Art Madrid 2015","2015-02-25 17:04:00.0","2015-03-01 17:04:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlxrMAD","54e790987261693b7b6c0b00","PAD Paris 2015","2015-03-26 19:51:00.0","2015-03-29 19:51:00.0","60","6","40","6","true","Item Updated"
"a0TM000000AUlxsMAD","54bda7b0726169237a250000","ADAA: The Art Show 2015","2015-03-04 10:00:00.0","2015-03-08 18:00:00.0","384","49","131","49","true","Item Updated"
"a0TM000000AUlxtMAD","54edf33c7261691c04030000","Baltimore Contemporary Print Fair 2015","2015-03-28 16:06:00.0","2015-03-29 16:06:00.0","10","1","7","1","true","Item Updated"
